date,open,high,low,close,volume
2014-01-02,177.49,181.15,174.51,179.99,4703126
2014-01-03,179.73,180.2999,174.75,175.28,3385204
2014-01-06,175.18,177.75,173.75,176.63,2859365
2014-01-07,178.2,179.1799,175.7,178.82,2481825
2014-01-08,179.94,184.87,179.5,181.79,3442602
2014-01-09,182.65,185.5,175.3,175.52,4527514
2014-01-10,178.9,180.22,176.61,179.66,3319676
2014-01-13,178.1,181.05,170.39,171.0,4445542
2014-01-14,173.89,173.94,171.77,172.87,3691263
2014-01-15,173.91,174.88,169.71,170.5,3338742
2014-01-16,171.3,174.57,169.75,173.0,2975256
2014-01-17,172.48,172.9299,168.87,170.14,3710648
2014-01-21,172.48,174.64,169.26,172.7,3434311
2014-01-22,174.09,176.32,172.2501,174.43,3090351
2014-01-23,168.79,170.55,162.0,163.58,9601679
2014-01-24,160.6,165.33,159.0,161.37,5976567
2014-01-27,161.52,163.286,155.2077,158.68,4694519
2014-01-28,163.29,166.55,162.5,164.24,4883905
2014-01-29,163.29,163.3899,157.4,158.1,4333254
2014-01-30,161.48,162.6,158.3,160.81,3345418
2014-01-31,159.74,159.9499,155.37,156.5,3957725
2014-02-03,156.26,157.93,148.6,150.52,5033243
2014-02-04,152.45,156.22,152.01,155.82,3459939
2014-02-05,154.26,154.72,149.26,152.1,3156198
2014-02-06,152.01,157.19,152.0,155.05,3226834
2014-02-07,156.44,162.745,156.0,161.14,4407825
2014-02-10,160.23,165.85,160.14,164.24,3367861
2014-02-11,165.49,167.27,162.7,166.29,3569690
2014-02-12,167.82,168.289,164.57,167.05,3066966
2014-02-13,165.83,170.14,164.1,170.04,3284980
2014-02-14,170.04,170.185,166.14,167.48,2530009
2014-02-18,170.0,174.3,168.93,173.79,3742435
2014-02-19,173.87,177.32,173.02,173.59,3143398
2014-02-20,173.91,174.3625,169.76,173.9,3028442
2014-02-21,173.31,175.23,170.9,172.66,2440391
2014-02-24,175.53,176.0,172.01,172.53,2712414
2014-02-25,173.05,173.99,168.66,170.15,3486645
2014-02-26,172.64,174.94,171.08,172.9,6479844
2014-02-27,174.0,180.48,171.05,178.92,13913108
2014-02-28,177.13,179.0,168.15,170.93,8644969
2014-03-03,168.0,171.06,165.25,169.75,5153462
2014-03-04,173.35,173.9,171.25,172.42,4407852
2014-03-05,173.59,174.88,172.9,174.57,2503105
2014-03-06,175.47,186.0,175.01,184.64,8749297
2014-03-07,185.5,189.34,180.95,182.04,6768858
2014-03-10,181.58,181.635,174.99,179.56,4211757
2014-03-11,180.33,180.62,172.35,173.5,4199513
2014-03-12,171.76,175.45,169.26,174.18,4052786
2014-03-13,175.5,175.65,164.44,166.09,5830447
2014-03-14,165.19,165.94,160.28,160.59,6017424
2014-03-17,163.01,165.755,161.38,161.66,4444961
2014-03-18,162.7,165.67,161.2,164.09,3566647
2014-03-19,163.87,164.0199,159.0401,160.58,4432913
2014-03-20,159.11,161.27,157.03,157.48,4289268
2014-03-21,160.71,161.5,156.75,158.31,4527585
2014-03-24,158.84,159.94,154.6,157.38,4681097
2014-03-25,158.43,159.62,154.7,156.05,4291788
2014-03-26,157.95,159.82,152.03,152.12,4553071
2014-03-27,151.26,152.8,144.16,151.0,8227783
2014-03-28,151.9,155.3979,150.3,150.6599,4506672
2014-03-31,154.09,157.9,150.91,152.27,5347434
2014-04-01,155.2,159.6,155.12,159.18,5351655
2014-04-02,160.76,163.58,159.37,160.47,4421920
2014-04-03,160.69,162.2,155.5,157.45,4384665
2014-04-04,157.83,158.17,148.5,149.35,8203813
2014-04-07,147.96,149.46,140.66,143.51,10334950
2014-04-08,145.37,153.36,145.01,150.96,7458589
2014-04-09,153.05,157.85,149.31,157.68,5676416
2014-04-10,159.2,159.81,148.92,150.97,6665608
2014-04-11,148.5,153.26,147.23,149.74,4388127
2014-04-14,153.36,155.83,150.28,153.755,3777995
2014-04-15,153.81,155.8,147.25,155.47,5362840
2014-04-16,159.29,159.5,152.1,157.23,3849364
2014-04-17,156.27,157.92,152.76,155.8,3387455
2014-04-21,157.23,160.14,155.99,160.11,3017745
2014-04-22,160.27,164.42,160.2,163.01,3901733
2014-04-23,162.25,162.68,158.44,159.34,2979726
2014-04-24,161.62,161.67,154.58,159.74,6727635
2014-04-25,164.32,167.36,159.2844,162.91,9467154
2014-04-28,162.61,162.99,148.16,150.93,10035176
2014-04-29,150.805,156.9899,150.02,155.15,5160221
2014-04-30,153.35,154.9895,150.4,153.85,4179620
2014-05-01,154.59,160.22,153.51,158.69,4048470
2014-05-02,159.66,161.4,158.21,159.91,2898802
2014-05-05,158.23,159.85,156.57,159.73,2160258
2014-05-06,159.73,162.81,157.73,157.83,2698439
2014-05-07,157.03,157.5,148.442,151.27,6174017
2014-05-08,151.14,154.59,149.31,150.38,3695998
2014-05-09,151.0,153.23,148.52,152.85,2460109
2014-05-12,154.67,160.17,154.07,159.88,4280021
2014-05-13,159.39,159.61,155.12,156.11,2922109
2014-05-14,156.0,158.75,155.64,156.02,2547926
2014-05-15,156.65,156.72,152.08,155.39,2493910
2014-05-16,154.65,155.64,152.471,154.77,2732712
2014-05-19,154.45,158.39,152.71,157.65,2532493
2014-05-20,158.15,159.92,156.29,158.42,2679772
2014-05-21,159.69,164.49,158.82,163.97,3366410
2014-05-22,164.28,164.9699,161.5004,163.53,3049412
2014-05-23,162.9,167.99,161.9,167.63,2707221
2014-05-27,168.04,170.308,167.23,169.32,3318045
2014-05-28,169.74,170.79,166.0,166.17,2812101
2014-05-29,166.71,169.59,165.52,167.5,2268547
2014-05-30,167.78,167.87,165.05,165.8101,1946823
2014-06-02,166.5,167.58,164.27,167.25,1976359
2014-06-03,167.0,167.19,162.8,163.671,2717849
2014-06-04,162.51,164.5,160.8,163.38,1797698
2014-06-05,162.9,168.14,162.68,166.42,2310043
2014-06-06,166.5,173.34,166.5,172.34,4814235
2014-06-09,172.46,174.58,170.38,171.59,2382165
2014-06-10,171.65,176.28,171.08,176.14,4118182
2014-06-11,174.14,178.68,173.56,176.51,3249830
2014-06-12,176.5,179.5,174.76,175.98,3066959
2014-06-13,176.31,179.5,175.8,178.05,2380728
2014-06-16,177.45,177.47,174.56,176.88,2193911
2014-06-17,177.89,179.26,176.17,178.22,2055784
2014-06-18,178.41,178.41,174.53,176.68,2585795
2014-06-19,177.1,177.17,173.21,174.39,1615150
2014-06-20,175.17,176.96,172.9,174.4999,2521840
2014-06-23,174.0,178.92,174.0,177.54,3289515
2014-06-24,177.02,184.29,176.2,181.19,5869361
2014-06-25,180.0,185.82,179.26,184.46,4310573
2014-06-26,184.46,185.9,182.34,183.71,2145481
2014-06-27,183.45,185.54,182.85,184.96,2136410
