date,open,high,low,close,volume
2014-01-02,72.8524,73.632,71.4789,72.6761,632059
2014-01-03,73.0473,73.0473,71.9986,72.5833,662413
2014-01-06,72.4627,72.8153,71.2098,72.4163,1369108
2014-01-07,72.3884,74.7921,72.0172,73.9568,685916
2014-01-08,74.6807,77.0194,74.226,76.4719,709011
2014-01-09,77.1215,78.2816,73.9197,74.0311,896042
2014-01-10,74.2445,76.0635,73.5486,75.8872,519213
2014-01-13,75.9057,76.5554,72.3977,72.7504,505433
2014-01-14,72.8617,75.038,72.1007,73.7898,489777
2014-01-15,74.4858,74.7921,72.5833,73.6227,457274
2014-01-16,73.5763,74.3559,72.9638,74.1703,331266
2014-01-17,74.5972,74.9127,72.9638,73.7341,625909
2014-01-21,74.458,75.4139,73.7898,74.922,348210
2014-01-22,75.4324,76.0348,74.2631,75.3953,710172
2014-01-23,72.8432,74.0496,71.2892,72.2678,1080395
2014-01-24,71.6831,72.2678,67.2841,69.1031,1441367
2014-01-27,69.0938,69.4186,67.1263,69.0289,593444
2014-01-28,69.6135,71.9614,69.5207,70.7736,566134
2014-01-29,70.2724,71.0891,68.9917,69.8548,668360
2014-01-30,70.7179,71.5624,69.9105,70.5137,278998
2014-01-31,69.2237,70.3745,68.6372,69.5764,298230
2014-02-03,70.0311,70.523,66.7087,67.0985,456056
2014-02-04,67.2748,68.6298,66.0962,66.6716,482415
2014-02-05,66.6716,67.414,63.9617,66.4396,724757
2014-02-06,66.2168,67.2748,65.2331,66.3746,458075
2014-02-07,67.2748,68.3996,64.7691,67.5904,927868
2014-02-10,67.7481,69.0474,66.4117,67.182,1073793
2014-02-11,66.8108,68.3792,66.4396,66.5324,684780
2014-02-12,66.8201,67.5904,66.0962,66.4024,1317085
2014-02-13,67.5254,69.5393,65.9013,67.1913,1799200
2014-02-14,66.4489,68.1101,66.4489,68.0358,743942
2014-02-18,68.6391,69.1773,67.6646,68.2957,761996
2014-02-19,68.305,69.298,67.4419,67.7574,762757
2014-02-20,67.2934,67.7945,65.725,66.0591,689455
2014-02-21,65.9848,67.4976,65.3816,65.8456,1121863
2014-02-24,66.0255,66.2517,64.3687,64.3687,773499
2014-02-25,63.9427,64.6338,62.9202,63.0243,1318153
2014-02-26,63.1758,65.4764,63.0527,64.1604,1368864
2014-02-27,64.3876,67.2752,64.3876,65.0409,879557
2014-02-28,65.8077,66.2432,64.6243,65.4858,771464
2014-03-03,64.5012,65.3249,63.0291,64.2077,1000887
2014-03-04,65.2965,65.7225,64.3971,65.1545,882617
2014-03-05,65.1355,66.8965,64.9462,66.6503,509633
2014-03-06,67.2752,69.642,66.7829,68.6858,880783
2014-03-07,69.2444,69.661,67.6444,67.7769,1027707
2014-03-10,67.2184,67.2184,65.4196,66.2716,694039
2014-03-11,66.8491,67.0196,64.6243,64.6716,575074
2014-03-12,64.0089,64.4823,62.6551,63.9995,540885
2014-03-13,64.1888,64.6432,62.0208,62.5983,909233
2014-03-14,62.1533,62.5415,61.3959,61.6326,675398
2014-03-17,62.5983,62.7214,60.4965,61.2823,1082131
2014-03-18,61.4054,62.7782,61.0078,62.4184,661896
2014-03-19,61.8977,62.1628,60.0894,60.5628,1081268
2014-03-20,60.4019,60.8468,59.5687,59.9758,841112
2014-03-21,61.3107,61.6326,59.6918,61.0456,762553
2014-03-24,61.7084,61.8882,60.4019,61.4338,1273514
2014-03-25,62.2196,62.4563,60.8942,61.3013,778397
2014-03-26,61.7178,62.9202,61.2066,62.7782,1133327
2014-03-27,62.7214,63.6208,60.08,61.5379,1553294
2014-03-28,61.9166,64.558,61.5475,64.5012,1183183
2014-03-31,65.2018,66.2338,63.5924,63.7154,681995
2014-04-01,64.1604,66.3284,64.1604,66.1012,572902
2014-04-02,66.2716,67.6823,62.4847,62.7024,978079
2014-04-03,62.9581,63.7817,61.1072,62.0397,978598
2014-04-04,62.5036,62.5036,60.3829,61.0172,658677
2014-04-07,60.6007,61.6232,59.9001,61.2539,717598
2014-04-08,61.5947,63.6965,61.2634,63.6208,569408
2014-04-09,64.1888,64.8515,63.5166,64.293,709419
2014-04-10,64.6054,65.2965,63.9184,64.6432,787195
2014-04-11,64.3876,66.2338,64.2608,64.5864,946667
2014-04-14,64.6716,66.0823,64.2551,65.4669,589072
2014-04-15,65.1355,66.0728,64.9367,65.8267,778754
2014-04-16,66.2716,66.7355,65.1071,66.0539,316550
2014-04-17,66.2432,67.5024,65.2302,67.3982,431518
2014-04-21,67.9568,71.1,67.5024,70.0965,779504
2014-04-22,70.816,70.8292,69.6704,70.1911,854142
2014-04-23,70.3047,70.3047,68.79,69.7746,545474
2014-04-24,70.2953,70.2953,68.79,69.4811,623384
2014-04-25,68.8278,70.2006,66.6598,67.332,907892
2014-04-28,66.9722,67.99,63.422,64.3592,1305106
2014-04-29,64.3592,65.8267,63.7632,65.7604,690288
2014-04-30,65.5521,65.6137,63.9143,64.4634,431643
2014-05-01,64.8515,67.2562,64.4255,66.2811,354968
2014-05-02,65.8361,67.2846,65.6373,66.1296,530723
2014-05-05,65.4764,66.6574,65.3533,66.4136,207531
2014-05-06,66.3474,66.7545,65.5048,65.6847,248097
2014-05-07,65.8551,66.5367,63.0906,63.4977,440178
2014-05-08,63.5829,65.2492,63.4314,64.0279,462096
2014-05-09,63.7628,64.2415,61.4622,63.5734,650860
2014-05-12,64.2267,68.4775,63.5734,67.6633,958477
2014-05-13,67.4551,67.9284,66.4042,67.6255,571203
2014-05-14,67.2184,68.0515,66.2735,67.2562,901920
2014-05-15,66.0823,68.8468,65.4196,67.4551,1094298
2014-05-16,67.6823,67.9355,66.0349,66.9059,529317
